Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,MagneticBuzzer_ProSignal_ABT-410-RC,129.540000,-73.660000,0.000000,top
C1,100uF,C_1206_3216Metric,168.351200,-109.118400,90.000000,top
C2,1uF,C_0603_1608Metric,85.140800,-110.642400,90.000000,top
C3,100uF,C_1206_3216Metric,89.154000,-79.502000,90.000000,top
C4,100uF,C_1206_3216Metric,89.281000,-72.390000,-90.000000,top
C5,1uF,C_0603_1608Metric,99.110800,-110.642400,90.000000,top
C6,100uF,C_1206_3216Metric,190.550800,-137.414000,0.000000,top
D1,SS34,D_SMA,95.250000,-72.491600,-90.000000,top
D2,SS34,D_SMA,167.386000,-74.980800,180.000000,top
D5,SS34,D_SMA,77.419200,-136.956800,0.000000,top
D6,SS34,D_SMA,68.529200,-136.956800,180.000000,top
D7,SS34,D_SMA,173.990000,-80.162400,0.000000,top
J1,AudioJack3,AUDIO-TH_PJ-3059-X,212.630000,-71.524500,90.000000,top
J2,Conn_02x20_Odd_Even,PinHeader_2x20_P2.54mm_Horizontal,64.564200,-128.369000,180.000000,top
J3,USB_B_Mini,USB_Mini-B_Tensility_54-00023_Vertical,201.55,-69.8,0.000000,top
J4,LED control source,PinHeader_1x03_P2.54mm_Vertical,87.426800,-132.095000,0.000000,top
J5,Conn_01x06,PinHeader_1x06_P2.54mm_Horizontal,121.920000,-82.550000,180.000000,top
J6,3.3V,PinHeader_1x01_P2.54mm_Horizontal,211.175600,-86.309200,-90.000000,top
JP2,Jumper_2_Open,PinHeader_1x02_P2.54mm_Vertical,159.512000,-73.609200,180.000000,top
P1,RFID-RC522-MODULE,PinHeader_1x08_P2.54mm_Vertical,216.710000,-115.215000,0.000000,top
PS1,ISH0503A,ISE0303A,78.638400,-75.387200,0.000000,top
Q1,2N3904,SOT-23,150.012400,-70.053200,-90.000000,top
R1,150,R_0603_1608Metric,150.012400,-73.761600,180.000000,top
R2,"1,5K",R_0603_1608Metric,165.290000,-69.025000,180.000000,top
R3,"1,5K",R_0603_1608Metric,169.062400,-69.037200,0.000000,top
R4,1K,R_0603_1608Metric,70.295000,-116.840000,0.000000,top
R5,1K,R_0603_1608Metric,70.295000,-114.300000,0.000000,top
R6,100K,R_0603_1608Metric,82.550000,-107.505000,-90.000000,top
R7,1K,R_0603_1608Metric,70.295000,-111.760000,0.000000,top
R8,1K,R_0603_1608Metric,70.295000,-109.220000,0.000000,top
R9,1K,R_0603_1608Metric,70.295000,-127.000000,0.000000,top
R10,1K,R_0603_1608Metric,70.295000,-124.460000,0.000000,top
R11,1K,R_0603_1608Metric,70.295000,-121.920000,0.000000,top
R12,1K,R_0603_1608Metric,70.295000,-119.380000,0.000000,top
R13,100K,R_0603_1608Metric,71.831200,-86.106000,0.000000,top
R14,100K,R_0603_1608Metric,79.959200,-86.106000,0.000000,top
R15,100K,R_0603_1608Metric,75.841200,-86.106000,180.000000,top
R16,100K,R_0603_1608Metric,83.896200,-86.080600,180.000000,top
RV1,5K,RES-ADJ-SMD_G32AT,143.764000,-70.941000,0.000000,top
SW1,SW_Push,honyone_pb13_switch,220.250000,-142.240000,90.000000,top
SW2,SW_Push,honyone_pb13_switch,220.250000,-129.540000,90.000000,top
SW3,SW_Push,honyone_pb13_switch,220.250000,-116.840000,90.000000,top
SW4,SW_Push,honyone_pb13_switch,220.250000,-104.140000,90.000000,top
SW5,SW_Push,honyone_pb13_switch,220.250000,-91.440000,90.000000,top
SW6,SW_Push,honyone_pb13_switch,220.250000,-78.740000,90.000000,top
SW7,SW_DPDT_x2,SW-TH_K3-2235S-K1,190.285000,-69.982300,-90.000000,top
U1,TXS0108EPW,TSSOP-20_4.4x6.5mm_P0.65mm,112.014000,-134.620000,90.000000,top
U2,74HC245,SO-20_5.3x12.6mm_P1.27mm,145.745200,-93.434300,0.000000,top
U3,MCP23S17_SS,DIP-28_W7.62mm,101.600000,-88.960800,0.000000,top
U4,MCP23S17_SS,DIP-28_W7.62mm,87.630000,-88.960800,0.000000,top
U5,ESP32-DEVKITC-32D,MODULE_ESP32-DEVKITC-32D,147.860000,-127.000000,-90.000000,top
U6,CR2013-MI2120,CR2013-MI2120,189.331000,-140.705000,90.000000,top
U7,74HC257,SOIC-16_3.9x9.9mm_P1.27mm,159.512000,-106.476800,-90.000000,top
U8,MC14066BDG,SOIC-14_3.9x8.7mm_P1.27mm,80.010000,-114.300000,-90.000000,top
U9,MC14066BDG,SOIC-14_3.9x8.7mm_P1.27mm,78.740000,-93.980000,-90.000000,top
U10,MC14066BDG,SOIC-14_3.9x8.7mm_P1.27mm,80.010000,-127.000000,-90.000000,top
U11,74HC373,TSSOP-20_4.4x6.5mm_P0.65mm,159.512000,-82.702400,90.000000,top
U12,74HC74,SO-14_3.9x8.65mm_P1.27mm,103.428800,-79.197200,0.000000,top
U13,74HCT00,SOIC-14_3.9x8.7mm_P1.27mm,98.806000,-134.620000,180.000000,top
U14,74HC245,SO-20_5.3x12.6mm_P1.27mm,145.745200,-105.968800,0.000000,top
U16,74LS148,SOP-16_3.9x9.9mm_P1.27mm,159.512000,-93.739600,270,top
U17,74F189,DIP-16_W7.62mm,116.332000,-96.266000,0.000000,top
U18,74F189,DIP-16_W7.62mm,116.332000,-109.347000,0.000000,top
U19,74HC373,TSSOP-20_4.4x6.5mm_P0.65mm,145.796000,-81.076800,90.000000,top
